,,0
214,bids_change,"[['0.06', '59600', '229']]"
214,timestamp,11:00:03.317000
215,time_received,11:00:03.3685
215,bids_change,"[['0.06', '43100', '230']]"
215,timestamp,11:00:03.326000
216,time_received,11:00:03.3766
216,bids_change,"[['0.06', '26600', '231']]"
216,timestamp,11:00:03.338000
217,time_received,11:00:03.3880
217,bids_change,"[['0.06', '10100', '232']]"
217,timestamp,11:00:03.347000
218,time_received,11:00:03.6589
218,bids_change,"[['0.135', '0', '233']]"
218,timestamp,11:00:03.620000
219,time_received,11:00:03.8620
219,bids_change,"[['0', '0', '236'], ['0.04', '2575', '237'], ['0.071', '0', '235']]"
219,timestamp,11:00:03.823000
220,time_received,11:00:03.8860
220,bids_change,"[['0.1', '183227', '238']]"
220,timestamp,11:00:03.847000
221,time_received,11:00:04.6546
221,bids_change,"[['0.1', '168228', '239']]"
221,timestamp,11:00:04.616000
222,time_received,11:00:04.6621
222,bids_change,"[['0.025', '219466.9', '240']]"
222,timestamp,11:00:04.624000
223,time_received,11:00:04.7701
223,bids_change,"[['0.05157', '1260.4', '241']]"
223,timestamp,11:00:04.732000
224,time_received,11:00:04.9963
224,bids_change,"[['0.1', '138229', '242']]"
224,timestamp,11:00:04.958000
225,time_received,11:00:05.3161
225,bids_change,"[['0.15', '0', '243']]"
225,timestamp,11:00:05.278000
226,time_received,11:00:05.5434
226,bids_change,"[['0.00002', '80000', '244']]"
226,timestamp,11:00:05.505000
227,time_received,11:00:06.0957
227,bids_change,"[['0.0425', '1813.7', '245']]"
227,timestamp,11:00:06.057000
228,time_received,11:00:06.1225
228,bids_change,"[['0.042', '717.5', '246']]"
228,timestamp,11:00:06.084000
229,time_received,11:00:06.5633
229,bids_change,"[['0.0065', '0', '247']]"
229,timestamp,11:00:06.525000
230,time_received,11:00:06.6330
230,bids_change,"[['0.1', '116230', '248']]"
230,timestamp,11:00:06.595000
231,time_received,11:00:06.7261
231,bids_change,"[['0.156', '64.1', '249']]"
231,timestamp,11:00:06.688000
232,time_received,11:00:06.7332
232,bids_change,"[['0.11', '140', '250']]"
232,timestamp,11:00:06.695000
233,time_received,11:00:07.4668
233,bids_change,"[['0.156', '128.2', '251']]"
233,timestamp,11:00:07.428000
234,time_received,11:00:07.5104
234,bids_change,"[['0.1008', '19841.2', '252']]"
234,timestamp,11:00:07.471000
235,time_received,11:00:07.5706
235,asks_change,"[['1', '9826.3', '258']]"
235,bids_change,"[['0', '0', '257'], ['1', '0', '253']]"
235,timestamp,11:00:07.532000
236,time_received,11:00:07.6599
236,bids_change,"[['0.0425', '1885.5', '259']]"
236,timestamp,11:00:07.622000
237,time_received,11:00:07.6720
237,bids_change,"[['0.156', '64.1', '260']]"
237,timestamp,11:00:07.634000
238,time_received,11:00:07.6721
238,bids_change,"[['0.156', '0', '261']]"
238,timestamp,11:00:07.634000
239,time_received,11:00:07.6963
239,asks_change,"[['0', '0', '262']]"
239,timestamp,11:00:07.658000
240,time_received,11:00:07.7035
240,asks_change,"[['0', '0', '263']]"
240,timestamp,11:00:07.663000
241,time_received,11:00:07.7037
241,asks_change,"[['0', '0', '264']]"
241,timestamp,11:00:07.665000
242,time_received,11:00:07.7085
242,asks_change,"[['0', '0', '265']]"
242,timestamp,11:00:07.670000
243,time_received,11:00:07.8543
243,bids_change,"[['0', '0', '266']]"
243,timestamp,11:00:07.816000
244,time_received,11:00:07.8555
244,bids_change,"[['0', '0', '267']]"
244,timestamp,11:00:07.818000
245,time_received,11:00:07.9815
245,bids_change,"[['0.1638', '12210', '268']]"
245,timestamp,11:00:07.943000
246,time_received,11:00:08.0642
246,bids_change,"[['0.0425', '23494.4', '269']]"
246,timestamp,11:00:08.026000
247,time_received,11:00:08.2247
247,asks_change,"[['1', '9560.8', '270']]"
247,timestamp,11:00:08.187000
248,time_received,11:00:08.2714
248,bids_change,"[['0.0425', '25827.2', '271']]"
248,timestamp,11:00:08.233000
249,time_received,11:00:08.3504
249,bids_change,"[['0.05', '685758', '272']]"
249,timestamp,11:00:08.312000
250,time_received,11:00:08.3850
250,bids_change,"[['0.0425', '25850.7', '273']]"
250,timestamp,11:00:08.347000
