     ,asks                                                                                                            ,bids                                                                                                                ,timestamp     ,time_received
  87 ,"[['1', '9261.4']]"                                                                                             ,"[['0.9576', '26.1'], ['0.6001', '150.9'], ['0.6', '2401.1'], ['0.32', '1562.5'], ['0.162', '308.6']]"              ,1732705215876 ,11:00:15.9124
  88 ,"[['1', '9261.4']]"                                                                                             ,"[['0.9576', '26.1'], ['0.93765', '153.3'], ['0.6', '2401.1'], ['0.32', '1562.5'], ['0.162', '308.6']]"             ,1732705215974 ,11:00:16.0110
  89 ,"[['1', '9261.4']]"                                                                                             ,"[['0.9576', '26.1'], ['0.93765', '153.3'], ['0.6', '2401.1'], ['0.32', '1562.5'], ['0.162', '308.6']]"             ,1732705216097 ,11:00:16.1335
  90 ,"[['1', '8762.8']]"                                                                                             ,"[['0.9639', '67.4'], ['0.9576', '26.1'], ['0.93765', '153.3'], ['0.6', '2401.1'], ['0.32', '1562.5']]"             ,1732705216200 ,11:00:16.2363
  91 ,"[['1', '8512.8']]"                                                                                             ,"[['0.9639', '67.4'], ['0.9576', '26.1'], ['0.93765', '153.3'], ['0.6', '2401.1'], ['0.32', '1562.5']]"             ,1732705216533 ,11:00:16.5700
  92 ,"[['1', '8512.8']]"                                                                                             ,"[['0.9639', '67.4'], ['0.9576', '26.1'], ['0.9443', '152.7'], ['0.6', '2401.1'], ['0.32', '1562.5']]"              ,1732705216641 ,11:00:16.6780
  93 ,"[['1', '8482.7']]"                                                                                             ,"[['0.9639', '67.4'], ['0.9576', '26.1'], ['0.9443', '152.7'], ['0.6', '2401.1'], ['0.32', '1562.5']]"              ,1732705216746 ,11:00:16.7831
  94 ,"[['1', '8482.7']]"                                                                                             ,"[['0.9639', '67.4'], ['0.9576', '26.1'], ['0.9443', '152.7'], ['0.6', '2401.1'], ['0.32', '1562.5']]"              ,1732705216847 ,11:00:16.8841
  95 ,"[['1', '8232.7']]"                                                                                             ,"[['0.9639', '67.4'], ['0.9576', '26.1'], ['0.9443', '152.7'], ['0.6', '2401.1'], ['0.32', '1562.5']]"              ,1732705216951 ,11:00:16.9879
  96 ,"[['1', '8232.7']]"                                                                                             ,"[['0.9639', '67.4'], ['0.9576', '26.1'], ['0.9443', '152.7'], ['0.6', '2401.1'], ['0.32', '1562.5']]"              ,1732705217178 ,11:00:17.2152
